Ticker,Nome,Setor,SubSetor,Segmento,Cotacao,Variacao,Abertura,Maxima,Minima,Fechamento_Anterior,Volume,Volume_Medio,Maxima_52s,Minima_52s,Market_Cap,PE,EPS,DY,DY_12m,PL,PVP,PSR,PAtivo,PCapGiro,PAtivoCircLiq,PEBIT,PEBITDA,EV_EBIT,EV_EBITDA,LPA,VPA,Patrimonio,Lucro_Liquido,EBIT,Receita_Liquida,ROE,ROA,ROIC,GiroAtivos,MargemBruta,MargemEBITDA,MargemEBIT,MargemLiquida,DivLiquida_Ativos,DivLiquida_PL,DivLiquida_EBIT,DivLiquida_EBITDA,LiquidezCorrente,Passivos_Ativos,PL_Ativos,CAGR_Receitas_5a,CAGR_Lucros_5a,Qtd_Acoes,Dividendo_Medio_12m,Dividendo_Total_12m,Dividendo_Ultimo,Qtd_Dividendos_12m,Dividendo_Medio_6a,Graham,Graham_BR,Bazin,Lynch,AGF_Medio,Upside_Graham,Upside_Graham_BR,Upside_Bazin,Upside_Lynch,Upside_AGF_Medio,Score_CS,Score_CS_Classificacao,ROE_10pct,DY_6pct,DivLiq_EBITDA_2_5,PL_15,PVP_2,Margem_10pct,LiqCorrente_1,CAGR_5pct,ROIC_10pct,Volume_1M,Beta,Media_50d,Media_200d,FCO,FCL
,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.98,7.95,0.28,0.33,9.5,0.43,37.22,0,57.06,0,0.44,3.56,0.0,0.0,0.0,0.0,12.35,4.14,0.79,1.17,64.92,0,0.76,3.55,0.52,1.5758,19.84,0,0.87,0.67,0.33,9.7,0,0,0.0,0.0,0.0,0,0.0,5.936665730862737,1.1348965517241383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Pessimo,1,0,0,1,0,0,0,0,0,0,0,0,0,,
AALR3,Allianca Saude e Participacoes SA,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos,3.24,0.0,3.11,3.24,3.11,3.24,19600,66843,6.82,2.36,942712346,0.0,-0.63,0.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,152359482,0.0859,0.1718,0.0873,2,0.0859,0.0,0.0,2.8633333333333337,0.0,1.4316666666666669,0.0,0.0,-11.625514403292174,0.0,-55.81275720164609,0,Pessimo,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ABCB4,Banco ABC Brasil SA,Financeiro e Outros,Intermediários Financeiros,Bancos,23.39,0.0,23.65,23.65,23.32,23.39,764400,778377,28.65,18.34,3029245837,5.37,4.35,9.71,18.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,129510368,1.0657,4.263,1.532,4,1.0657,0.0,0.0,71.05,0.0,17.76166666666667,0.0,0.0,203.76229157759727,0.0,-24.06298988171582,1,Pessimo,0,1,0,0,0,0,0,0,0,0,0,0,0,,
ABEV3,Ambev SA,Consumo não Cíclico,Bebidas,Cervejas e Refrigerantes,15.81,0.0,15.65,15.91,15.53,15.81,25814600,28510180,17.04,11.19,246038704730,15.9,0.99,7.23,6.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,15763664889,0.2466,0.9865,0.269,4,0.2466,0.0,0.0,16.441666666666666,0.0,4.11,0.0,0.0,3.995361585494408,0.0,-74.00379506641366,2,Pessimo,0,1,0,0,0,0,0,0,0,1,0,0,0,,
ABRAV3,#N/A,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Pessimo,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ADHM3,#N/A,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.2664,0.2664,0.2664,1,0.2664,0.0,0.0,4.44,0.0,4.44,0.0,0.0,0.0,0.0,0.0,0,Pessimo,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ADMF3,#N/A,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Pessimo,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AERI3,Aeris ndstr  Cmrc d qpmnts pr Grc d nrg,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,2.31,0.0,2.33,2.37,2.3,2.31,45900,61490,4.78,2.3,141663911,0.0,-15.4,0.0,17.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,62120196,0.414,0.414,0.414,1,0.414,0.0,0.0,6.8999999999999995,0.0,6.8999999999999995,0.0,0.0,198.7012987012987,0.0,198.7012987012987,1,Pessimo,0,1,0,0,0,0,0,0,0,0,0,0,0,,
AESB3,#N/A,Utilidade Pública,Energia Elétrica,Energia Elétrica,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.1032,0.4129,0.0746,4,0.1032,0.0,0.0,6.881666666666667,0.0,1.72,0.0,0.0,0.0,0.0,0.0,0,Pessimo,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AFLT3,Afluente Transmissao de Energia Eltrc SA,Utilidade Pública,Energia Elétrica,Energia Elétrica,7.19,0.0,7.29,7.29,7.19,7.19,600,461,7.75,6.21,447782706,13.8,0.52,6.32,7.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,63084700,0.1358,0.543,0.0868,4,0.1358,0.0,0.0,9.05,0.0,2.2633333333333336,0.0,0.0,25.86926286509041,0.0,-68.52109411219286,1,Pessimo,0,1,0,0,0,0,0,0,0,0,0,0,0,,
AGRO3,BrasilAgro - Companhia Brslr d Prprd Agr,Consumo não Cíclico,Agropecuária,Agricultura,18.6,0.0,18.6,18.71,18.49,18.6,223000,233050,22.75,18.49,1885504358,0.0,-0.16,3.73,47.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,102683444,2.19,8.7599,0.7529,4,2.19,0.0,0.0,145.99833333333333,0.0,36.5,0.0,0.0,684.9372759856631,0.0,96.23655913978493,0,Pessimo,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AGXY3,Agrogalaxy Participacoes SA em Recupera,Consumo não Cíclico,Agropecuária,Agricultura,1.9,0.0,2.01,2.02,1.9,1.9,108300,22563,9.5,1.9,35581603,0.0,-58.12,0.0,132.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,18969571,2.518,2.518,2.518,1,2.518,0.0,0.0,41.96666666666666,0.0,41.96666666666666,0.0,0.0,2108.771929824561,0.0,2108.771929824561,1,Pessimo,0,1,0,0,0,0,0,0,0,0,0,0,0,,
AHEB3,Sao Paulo Turismo SA,Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows,23.9,0.0,23.9,23.9,23.9,23.9,100,150,45.0,21.5,205898974,5.21,4.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,8407877,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Pessimo,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AHEB5,Sao Paulo Turismo Class Pref Shs Class A,Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows,58.0,0.0,0.0,0.0,0.0,58.0,0,0,58.0,50.0,205898974,12.64,4.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,45022,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Pessimo,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AHEB6,Sao Paulo Turismo Class Pref Shs Class B,Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows,55.0,0.0,0.0,0.0,0.0,55.0,0,0,55.0,55.0,205898974,11.98,4.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,90995,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Pessimo,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ALLD3,Allied Tecnologia SA,Consumo Cíclico,Comércio,Eletrodomésticos,5.79,0.0,5.81,5.86,5.73,5.79,210200,475873,8.23,4.72,548517035,1.69,3.43,14.83,63.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,95961536,0.9263,3.7052,0.4208,4,0.9263,0.0,0.0,61.75333333333334,0.0,15.438333333333334,0.0,0.0,966.5515256188833,0.0,166.6378814047208,1,Pessimo,0,1,0,0,0,0,0,0,0,0,0,0,0,,
